graphNodes,density,expNo,delta,compressionRatio,executionTime,,,,,,,,,
64,85,4,0.9,1.584828,7.765547,,,,,,,,,
64,85,4,1,1.737399,8.019013,,,,,,,,,
64,85,5,0.5,1.094429,3.192589,,,,,,,,,
64,85,5,0.6,1.198139,5.19208,,,,,,,,,
64,85,5,0.7,1.311086,6.380329,,,,,,,,,
64,85,5,0.8,1.436777,7.22297,,,,,,,,,
64,85,5,0.9,1.614206,7.906121,,,,,,,,,
64,85,5,1,1.768566,8.155078,,,,,,,,,
64,85,6,0.5,1.092023,3.219479,,,,,,,,,
64,85,6,0.6,1.194845,5.218099,,,,,,,,,
64,85,6,0.7,1.325581,6.630539,,,,,,,,,
64,85,6,0.8,1.453595,7.419288,,,,,,,,,
64,85,6,0.9,1.603782,7.945526,,,,,,,,,
64,85,6,1,1.750755,8.184394,,,,,,,,,
64,85,7,0.5,1.109131,3.649276,,,,,,,,,
64,85,7,0.6,1.195887,5.30934,,,,,,,,,
64,85,7,0.7,1.350724,6.894053,,,,,,,,,
64,85,7,0.8,1.461475,7.509137,,,,,,,,,
64,85,7,0.9,1.607888,8.045523,,,,,,,,,
64,85,7,1,1.779729,8.327792,,,,,,,,,
64,85,8,0.5,1.094073,3.209461,,,,,,,,,
64,85,8,0.6,1.203519,5.235321,,,,,,,,,
64,85,8,0.7,1.311161,6.165717,,,,,,,,,
64,85,8,0.8,1.442928,7.283363,,,,,,,,,
64,85,8,0.9,1.598259,7.91089,,,,,,,,,
64,85,8,1,1.746246,8.151071,,,,,,,,,
64,85,9,0.5,1.094262,3.230901,,,,,,,,,
64,85,9,0.6,1.197309,5.217888,,,,,,,,,
64,85,9,0.7,1.310306,6.373386,,,,,,,,,
64,85,9,0.8,1.436078,7.323989,,,,,,,,,
64,85,9,0.9,1.593664,7.810071,,,,,,,,,
64,85,9,1,1.757468,8.248273,,,,,,,,,
64,85,10,0.5,1.090738,3.201105,,,,,,,,,
64,85,10,0.6,1.194225,5.221555,,,,,,,,,
64,85,10,0.7,1.311934,6.386521,,,,,,,,,
64,85,10,0.8,1.433168,7.257996,,,,,,,,,
64,85,10,0.9,1.599447,7.888659,,,,,,,,,
64,85,10,1,1.734398,8.100726,,,,,,,,,
64,90,1,0.5,1.114495,3.50214,,,,,,,,,
64,90,1,0.6,1.226542,5.643097,,,,,,,,,
64,90,1,0.7,1.35656,6.932986,,,,,,,,,
64,90,1,0.8,1.498158,7.588115,,,,,,,,,
64,90,1,0.9,1.639785,8.201816,,,,,,,,,
64,90,1,1,1.817279,8.506188,,,,,,,,,
64,90,2,0.5,1.113133,3.814736,,,,,,,,,
64,90,2,0.6,1.226195,5.649569,,,,,,,,,
64,90,2,0.7,1.349265,6.862595,,,,,,,,,
64,90,2,0.8,1.524086,7.84103,,,,,,,,,
64,90,2,0.9,1.668182,8.226554,,,,,,,,,
64,90,2,1,1.825871,8.519684,,,,,,,,,
64,90,3,0.5,1.132944,4.15756,,,,,,,,,
64,90,3,0.6,1.226729,5.67596,,,,,,,,,
64,90,3,0.7,1.361624,6.897861,,,,,,,,,
64,90,3,0.8,1.507969,7.715626,,,,,,,,,
64,90,3,0.9,1.684932,8.290083,,,,,,,,,
64,90,3,1,1.794747,8.473077,,,,,,,,,
64,90,4,0.5,1.130114,4.147231,,,,,,,,,
64,90,4,0.6,1.222629,5.6499,,,,,,,,,
64,90,4,0.7,1.349247,6.879778,,,,,,,,,
64,90,4,0.8,1.49898,7.655743,,,,,,,,,
64,90,4,0.9,1.670759,8.254827,,,,,,,,,
64,90,4,1,1.821517,8.522881,,,,,,,,,
64,90,5,0.5,1.129822,4.135709,,,,,,,,,
64,90,5,0.6,1.224693,5.674607,,,,,,,,,
64,90,5,0.7,1.353135,6.905135,,,,,,,,,
64,90,5,0.8,1.50061,7.722148,,,,,,,,,
64,90,5,0.9,1.666667,8.317716,,,,,,,,,
64,90,5,1,1.823123,8.550492,,,,,,,,,
64,90,6,0.5,1.113202,3.716092,,,,,,,,,
64,90,6,0.6,1.221445,5.651744,,,,,,,,,
64,90,6,0.7,1.368657,6.99274,,,,,,,,,
64,90,6,0.8,1.52579,7.873412,,,,,,,,,
64,90,6,0.9,1.64632,8.222256,,,,,,,,,
64,90,6,1,1.831253,8.51711,,,,,,,,,
64,90,7,0.5,1.116293,3.746188,,,,,,,,,
64,90,7,0.6,1.23154,5.646344,,,,,,,,,
64,90,7,0.7,1.366197,6.861924,,,,,,,,,
64,90,7,0.8,1.494122,7.589619,,,,,,,,,
64,90,7,0.9,1.666365,8.182031,,,,,,,,,
64,90,7,1,1.82385,8.439854,,,,,,,,,
64,90,8,0.5,1.13229,4.172198,,,,,,,,,
64,90,8,0.6,1.228847,5.684304,,,,,,,,,
64,90,8,0.7,1.357748,6.874357,,,,,,,,,
64,90,8,0.8,1.513126,7.683715,,,,,,,,,
64,90,8,0.9,1.662461,8.200906,,,,,,,,,
64,90,8,1,1.80922,8.452118,,,,,,,,,
64,90,9,0.5,1.132064,3.91207,,,,,,,,,
64,90,9,0.6,1.229076,5.669557,,,,,,,,,
64,90,9,0.7,1.357643,6.887882,,,,,,,,,
64,90,9,0.8,1.489293,7.612111,,,,,,,,,
64,90,9,0.9,1.651434,8.196678,,,,,,,,,
64,90,9,1,1.811302,8.45893,,,,,,,,,
64,90,10,0.5,1.113036,3.714178,,,,,,,,,
64,90,10,0.6,1.229195,5.650532,,,,,,,,,
64,90,10,0.7,1.362216,6.840444,,,,,,,,,
64,90,10,0.8,1.482396,7.555185,,,,,,,,,
64,90,10,0.9,1.65,8.10704,,,,,,,,,
64,90,10,1,1.804433,8.377287,,,,,,,,,
